Kim Possible Movie: So the Drama,2005,81,G,
Once Upon a Mattress,2005,90,PG,
Valiant,2005,76,G,
"Greatest Game Ever Played, The",2005,120,PG,
Emperor's New Groove 2: Kronk's New Groove,2005,72,G,
"Incredibles, The",2004,115,PG,
"Lion King 1 1/2, The",2004,77,G,
Mickey's Twice Upon a Christmas,2004,68,G,
National Treasure,2004,131,PG,
Mulan II,2004,79,G,
Howl's Moving Castle,2004,119,PG,
Princess Diaries 2: Royal Engagement,2004,113,G,
"Three Musketeers, The (Animated)",2004,68,G,
Around the World in 80 Days,2004,120,PG,
Winnie the Pooh: Springtime with Roo,2004,65,G,
Home on the Range,2004,76,PG,
Confessions of a Teenage Drama Queen,2004,89,PG,
Miracle,2004,135,PG,
Teacher's Pet,2004,74,PG,
Stuck in the Suburbs,2004,82,G,
Tiger Cruise,2004,88,PG,
Halloweentown High,2004,83,G,
Zenon: Z3,2004,81,G,
Pixel Perfect,2004,85,G,
Going to the Mat,2004,96,G,
Finding Nemo,2003,100,G,
"Young Black Stallion, The",2003,45,G,
"Haunted Mansion, The",2003,88,PG,
George of the Jungle 2,2003,87,PG,
Freaky Friday,2003,97,PG,
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,PG-13,
Lizzie McGuire Movie,2003,94,PG,
Atlantis: Milo's Return,2003,70,G,
Holes,2003,117,PG,
Piglet's Big Movie,2003,75,G,
Inspector Gadget 2,2003,89,G,
"Jungle Book 2, The",2003,72,G,
101 Dalmations II: Patch's London Adventure,2003,70,G,
Brother Bear,2003,82,G,
You Wish!,2003,100,NR,
Right On Track,2003,89,G,
"Even Stevens Movie, The",2003,93,NR,
Eddie's Million Dollar Cook-Off,2003,85,NR,
"Cheetah Girls, The",2003,100,NR,
Full-Court Miracle,2003,90,NR,
Air Bud Spikes Back,2003,87,G,
Kim Possible: A Sitch in Time,2003,66,G,
"Rookie, The",2002,127,G,
Winnie the Pooh: A Very Merry Christmas,2002,65,G,
Treasure Planet,2002,95,PG,
Santa Clause 2: The Mrs. Clause,2002,105,G,
Tuck Everlasting,2002,90,PG,
"Country Bears, The",2002,88,G,
Lilo & Stitch,2002,85,PG,
Cinderella II: Dreams Come True,2002,73,G,
Return to Never Land,2002,72,G,
Snow Dogs,2002,95,PG,
Double Teamed,2002,120,G,
Cadet Kelly,2002,101,G,
Tru Confessions,2002,81,G,
Get a Clue,2002,83,G,
Gotta Kick It Up!,2002,78,G,
"Ring of Endless Light, A",2002,88,G,
"Scream Team, The",2002,100,G,
Air Bud: Seventh Inning Fetch,2002,93,G,
"Monsters, Inc",2001,92,G,
Max Keeble's Big Move,2001,86,PG,
"Princess Diaries, The",2001,115,G,
Spirited Away,2001,125,PG,
Atlantis: The Lost Empire,2001,95,PG,
Lady and the Tramp II: Scamp's Adventure,2001,69,G,
Recess: School's Out,2001,82,G,
Motocrossed,2001,88,NR,
Mickey's Magical Christmas: Snowed in at the House of Mouse,2001,65,G,
Zenon: The Zequel,2001,100,G,
Luck of the Irish,2001,86,G,
Hounded,2001,92,G,
"Jennie Project, The",2001,76,G,
Jumping Ship,2001,93,G,
"Poof Point, The",2001,90,G,
Halloweentown II: Kalabar's Revenge,2001,81,NR,
Twas the Night,2001,84,NR,
"Other Side of Heaven, The",2001,113,PG,
Jett Jackson: The Movie,2001,100,G,
"Emperor's New Groove, The",2000,78,G,
102 Dalmatians,2000,100,G,
Remember the Titans,2000,113,PG,
"Little Mermaid II, The: Return to the Sea",2000,72,G,
"Kid, The",2000,104,PG,
Dinosaur,2000,82,G,
Whispers: An Elephant's Tale,2000,72,G,
"Extremely Goofy Movie, An",2000,76,G,
Geppetto,2000,89,NR,
Mail to the Chief,2000,89,NR,
Air Bud 3: World Pup,2000,83,G,
Angels In The Infield,2000,87,PG,
"Up, Up, and Away",2000,90,G,
"Color of Friendship, The",2000,87,G,
Alley Cats Strike,2000,87,G,
Rip Girls,2000,87,G,
Miracle in Lane 2,2000,120,G,
Stepsister From Planet Weird,2000,85,G,
Ready to Run,2000,96,G,
Quints,2000,83,G,
"Other Me, The",2000,90,G,
Mom's Got A Date With A Vampire,2000,85,PG,
Phantom of the Megaplex,2000,89,G,
"Ultimate Christmas Present, The",2000,85,G,
Toy Story 2,1999,92,G,
Fantasia 2000,1999,75,G,
Mickey's Once Upon a Christmas,1999,66,G,
H-E Double Hockey Sticks,1999,95,NR,
Inspector Gadget,1999,78,PG,
Tarzan,1999,88,G,
"Straight Story, The",1999,112,G,
Doug's 1st Movie,1999,77,G,
My Favorite Martian,1999,93,PG,
Endurance,1999,83,PG,
Smart House,1999,90,G,
Horse Sense,1999,92,G,
Zenon: Girl of the 21st Century,1999,97,G,
Can of Worms,1999,90,PG,
Johnny Tsunami,1999,88,G,
"Thirteenth Year, The",1999,95,G,
Genius,1999,82,G,
Don't Look Under The Bed,1999,92,NR,
Annie,1999,90,UR,
"Bugs Life, A",1998,96,G,
